13:29:54  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  239
13:29:54  |  Core  |  Info  |  Register value : 'Center' = 0  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  240
13:29:54  |  Core  |  Info  |  Register value : 'Left' = 2  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  241
13:29:54  |  Core  |  Info  |  Register value : 'Right' = 4  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  242
13:29:54  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  243
13:29:54  |  Core  |  Info  |  Register value : 'Top' = 8  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  244
13:29:54  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  245
13:29:54  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  246
13:29:54  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  247
13:29:54  |  Core  |  Info  |  Register value : 'Default' = 10  |  d:\ogre_sdk\ogresdk\my-gui\myguiengine\include\MyGUI_Align.h  |  248
13:29:54  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
13:29:54  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
13:29:54  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
13:29:54  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
13:29:54  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
13:29:54  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
13:29:54  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
13:29:54  |  Core  |  Info  |  Gui successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  133
